YARN,KNIT      ,THREAD    ,SEW       ,WOOL      ,STORY     ,BALL      ,STRING    ,CROCHET   ,WEAVE     ,COTTON    ,MATERIAL  
WHALE     ,FISH      ,BIG       ,BLUBBER   ,OCEAN     ,MAMMAL    ,SHARK     ,BONE      ,DOLPHIN   ,LARGE     ,SAVE      ,WATER     
WALNUT    ,PEANUT    ,NUT       ,PECAN     ,TREE      ,CRACK     ,SQUIRREL  ,ALMOND    ,SHELL     ,ACORN     ,BROWN     ,COOKIE    
